年,月,ドル建価格最高,ドル建価格最低,ドル建価格平均,為替T.T.S.,平均小売価格最高,小売価格最低,小売価格平均
1975,07,168.40,162.50,165.03,297.27,1695,1625,1653
1975,06,166.25,161.75,164.25,294.55,1650,1595,1629
1975,05,174.75,163.50,167.34,292.58,1725,1615,1654
1975,04,177.65,164.00,169.96,293.30,1790,1615,1686
1975,03,181.85,176.25,178.18,289.05,1765,1705,1734
1975,02,186.25,173.40,179.57,293.43,1825,1725,1779
1975,01,185.00,169.50,176.57,300.80,1835,1725,1787
1974,12,197.50,170.50,183.77,301.36,1980,1765,1868
1974,11,190.50,167.75,181.57,301.14,1960,1730,1878
1974,10,169.50,153.50,158.63,300.54,1730,1560,1632
1974,09,158.50,144.00,151.72,300.44,1650,1485,1564
1974,08,159.40,151.50,154.50,303.28,1645,1580,1609
1974,07,160.50,129.00,142.63,291.93,1615,1275,1427
1974,06,161.75,143.65,154.06,284.11,1570,1415,1505
1974,05,170.50,154.00,163.41,279.82,1635,1480,1570
1974,04,179.50,166.75,172.23,278.72,1710,1595,1649
1974,03,177.50,158.25,168.36,283.18,1710,1580,1634
1974,02,178.00,130.50,150.12,291.88,1715,1345,1498
1974,01,141.75,114.75,129.12,299.67,1470,1145,1331
1973,12,112.75,100.00,106.48,281.00,1080,970,1024
1973,11,101.75,89.75,94.79,278.79,980,870,905
1973,10,103.75,96.75,100.00,267.30,950,885,920
1973,09,106.98,100.00,103.00,266.47,970,920,945
1973,08,117.50,92.50,106.50,266.11,1070,860,976
1973,07,127.00,114.00,120.27,265.72,1160,1045,1101
1973,06,127.00,115.50,119.96,265.74,1145,1050,1092
1973,05,114.75,90.30,101.79,265.74,1035,825,932
1973,04,91.25,89.25,90.48,266.45,835,825,829
1973,03,91.50,80.00,84.24,0,775,750,761
1973,02,89.00,66.40,74.08,0,690,690,690
1973,01,66.20,63.90,65.13,0,690,690,690
