国債金利情報 (平成27年9月),,,,,,,,,,,,,,,
基準日,1年,2年,3年,4年,5年,6年,7年,8年,9年,10年,15年,20年,25年,30年,40年
H27.9.1,0.004,0.007,0.01,0.04,0.074,0.102,0.14,0.231,0.302,0.381,0.76,1.164,1.326,1.426,1.548
H27.9.2,0.004,0.01,0.016,0.045,0.078,0.106,0.148,0.236,0.309,0.386,0.766,1.169,1.33,1.436,1.557
H27.9.3,0.004,0.012,0.02,0.05,0.084,0.113,0.154,0.241,0.315,0.391,0.766,1.17,1.326,1.431,1.552
H27.9.4,0.003,0.012,0.016,0.045,0.072,0.096,0.13,0.217,0.285,0.362,0.741,1.147,1.302,1.408,1.528
H27.9.7,0.002,0.011,0.016,0.045,0.073,0.097,0.13,0.212,0.285,0.363,0.741,1.146,1.302,1.404,1.524
H27.9.8,0.002,0.011,0.015,0.045,0.07,0.087,0.119,0.202,0.276,0.355,0.732,1.136,1.293,1.395,1.513
H27.9.9,0.002,0.011,0.018,0.045,0.07,0.088,0.12,0.207,0.281,0.359,0.742,1.147,1.302,1.399,1.52
H27.9.10,0.001,0.011,0.018,0.04,0.059,0.077,0.106,0.192,0.267,0.349,0.732,1.142,1.307,1.404,1.529
